# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 staged-clock path
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
255	phy	apcie-phy-ip-auspma-tunables	0x00417062178	4	RMW	0x03f00000	0x00300000
256	phy	apcie-phy-ip-auspma-tunables	0x004170621b4	4	RMW	0x0003ff00	0x00001500
257	phy	apcie-phy-ip-auspma-tunables	0x004170621bc	4	RMW	0x0003ff00	0x00001500
258	phy	apcie-phy-ip-auspma-tunables	0x004170621c4	4	RMW	0x00000001	0x00000001
259	phy	apcie-phy-ip-auspma-tunables	0x004170621cc	4	RMW	0x00000001	0x00000001
260	phy	apcie-phy-ip-auspma-tunables	0x004170621e8	4	RMW	0x0000000f	0x00000000
261	phy	apcie-phy-ip-auspma-tunables	0x004170621b0	4	RMW	0xffffffff	0x00098924
262	phy	apcie-phy-ip-auspma-tunables	0x004170621b8	4	RMW	0xffffffff	0x00098924
263	phy	apcie-phy-ip-auspma-tunables	0x0041704b02c	4	RMW	0x00100000	0x00100000
264	phy	apcie-phy-ip-auspma-tunables	0x0041704b058	4	RMW	0x00000018	0x00000018
265	phy	apcie-phy-ip-auspma-tunables	0x0041704b070	4	RMW	0x00000030	0x00000020
266	phy	apcie-phy-ip-auspma-tunables	0x0041704b078	4	RMW	0x3c000000	0x2c000000
267	phy	apcie-phy-ip-auspma-tunables	0x0041705302c	4	RMW	0x00100000	0x00100000
268	phy	apcie-phy-ip-auspma-tunables	0x00417053058	4	RMW	0x00000018	0x00000018
